pm10,pm25,so2,co,o3,no2,target
55,78,47,7,24,14,1
54,82,48,7,34,15,1
59,88,48,8,26,16,1
67,97,48,14,26,22,1
60,86,47,9,30,17,1
53,73,49,6,35,13,1
49,71,49,6,32,12,1
59,88,49,7,23,15,1
73,114,52,9,24,21,2
63,89,51,10,21,17,1
66,99,50,14,21,19,1
62,87,48,10,25,21,1
63,93,50,7,18,22,1
80,111,52,7,24,29,2
53,64,48,4,22,17,1
34,56,50,5,24,15,1
59,89,52,9,29,23,1
69,106,51,9,26,19,2
85,127,51,11,27,22,2
58,80,51,5,25,15,1
72,110,50,9,29,15,2
58,81,50,6,26,14,1
71,30,52,8,25,19,1
79,26,49,10,23,19,1
54,89,41,11,32,20,1
62,100,43,7,41,17,1
57,93,41,11,36,23,1
56,93,41,9,38,20,1
50,86,41,9,37,21,1
68,108,37,9,32,28,2
55,93,27,13,30,24,1
49,80,36,12,32,23,1
63,103,35,13,28,21,2
67,111,42,13,22,25,2
62,88,35,20,19,22,1
64,102,35,28,20,28,2
67,102,38,19,18,24,2
56,102,31,19,15,31,2
74,140,36,22,20,26,2
51,90,29,14,19,21,1
47,84,33,16,21,22,1
58,107,38,14,23,25,2
66,119,37,15,16,27,2
82,147,39,18,20,24,2
67,118,36,10,26,18,2
72,134,34,18,29,22,2
60,117,36,18,30,22,2
65,124,34,13,27,21,2
65,125,36,14,21,29,2
57,98,27,12,26,22,1
57,92,25,15,27,27,1
53,90,23,18,19,36,1
53,89,29,9,25,19,1
52,91,25,12,27,28,1
52,86,29,9,28,19,1
61,108,24,18,22,34,2
53,87,22,10,29,25,1
49,81,28,10,29,26,1
47,77,25,10,23,20,1
57,98,27,13,18,25,1
56,89,42,10,16,27,1
58,97,28,25,9,55,1
54,90,30,17,16,41,1
62,101,28,23,16,45,2
53,83,34,19,11,45,1
74,123,47,26,20,58,2
50,68,23,16,12,35,1
35,67,28,13,13,35,1
58,103,26,14,23,28,2
64,107,39,19,17,52,2
76,129,35,30,14,63,2
45,70,39,8,16,22,1
68,120,28,22,17,41,2
59,99,25,17,21,30,1
72,128,35,24,21,50,2
64,106,28,16,14,33,2
55,76,27,14,20,31,1
55,70,33,16,14,30,1
58,81,33,12,19,25,1
68,102,27,11,27,22,2
71,106,28,12,34,25,2
56,74,26,9,29,29,1
64,86,34,10,22,27,1
68,94,32,10,26,26,1
70,101,33,9,28,25,2
64,83,35,7,24,23,1
54,71,32,6,21,15,1
46,59,29,5,18,13,1
63,89,33,10,18,24,1
53,69,28,10,17,23,1
66,95,31,12,24,30,1
71,97,30,11,24,29,1
63,80,29,8,28,20,1
63,89,31,8,32,19,1
66,95,26,10,32,28,1
74,100,27,15,24,24,1
48,66,27,7,26,17,1
53,76,31,9,24,26,1
58,80,26,9,27,28,1
53,79,26,13,21,34,1
70,108,25,23,28,38,2
65,95,27,14,17,32,1
61,91,29,10,23,28,1
68,102,31,13,20,30,2
59,85,28,13,24,32,1
73,105,29,12,39,35,2
54,72,26,7,27,24,1
64,81,53,12,48,28,1
68,81,56,14,40,27,1
72,100,54,11,44,23,1
94,129,51,15,50,23,2
77,111,56,12,62,20,2
64,79,51,10,55,17,1
84,108,54,11,51,23,2
83,111,56,11,50,24,2
92,120,59,11,56,26,2
78,104,54,10,63,17,2
78,119,54,11,43,23,2
56,75,51,12,50,23,1
79,111,62,11,56,26,2
85,115,53,11,53,19,2
74,99,55,10,58,20,1
82,114,55,11,58,17,2
74,100,51,10,77,13,1
86,113,51,14,60,19,2
