NAMA DESA;IKS;IKE;IKL;IDM;Status
LUANG TIMUR;0,6229;0,2833;0,6;0,5021;1
MAHALETA;0,5714;0,4333;0,6;0,5349;1
PUPLIORA;0,6057;0,3333;0,7333;0,5575;1
REGOHA;0,64;0,25;0,6667;0,5189;1
ROMDARA;0,5943;0,3333;0,7333;0,5537;1
ROTNAMA;0,6514;0,2;0,7333;0,5283;1
RUMKISAR;0,6571;0,3833;0,6;0,5468;1
TUTUWARU;0,68;0,35;0,7333;0,5878;1
SERILI;0,6;0,25;0,6667;0,5056;1
TELALORA;0,68;0,4;0,6;0,56;1
HERLEY;0,4857;0,2833;0,8667;0,5452;1
NUSIATA;0,5657;0,3167;0,6667;0,5163;1
POTA BESAR;0,5314;0,2;0,8667;0,5327;1
POTA KECIL;0,6114;0,25;0,6667;0,5094;1
RUMAHLEWANG BESAR;0,6457;0,4333;0,6667;0,5819;1
RUMAHLEWANG KECIL;0,5657;0,3167;0,6667;0,5163;1
UPUHUPUN;0,6629;0,2667;0,8667;0,5987;1
WASARILI;0,5429;0,25;0,8667;0,5532;1
HERTUTI;0,6629;0,2;0,6667;0,5098;1
LETSIARA;0,5771;0,2167;0,8667;0,5535;1
LEWAH;0,6343;0,2;0,6667;0,5003;1
SINAIRUSI;0,68;0,3167;0,6667;0,5544;1
WANUWUI;0,6286;0,35;0,8;0,5929;1
YALTUBUNG;0,6057;0,2833;0,8667;0,5852;1
AHANARI;0,6629;0,45;0,4667;0,5265;1
ANALUTUR;0,7143;0,2667;0,6667;0,5492;1
EMPLAWAS;0,6514;0,3833;0,4667;0,5005;1
KOKWARI;0,7086;0,3167;0,6;0,5417;1
MANUWERI;0,6;0,4167;0,6667;0,5611;1
NAKARHAMTO;0,7086;0,3667;0,6667;0,5806;1
TUTUWAWANG;0,6914;0,3667;0,6667;0,5749;1
WAKPAPAPI;0,7029;0,2667;0,6;0,5232;1
YATOKE;0,7143;0,35;0,5333;0,5325;1
ARNAU;0,6457;0,3167;0,8;0,5875;1
HIAY;0,6914;0,2833;0,5333;0,5027;1
ILPUTIH;0,6629;0,3167;0,6;0,5265;1
MAHUAN;0,5771;0,2833;0,6667;0,509;1
MASAPUN;0,5143;0,2833;0,8667;0,5548;1
ILMAMAU;0,5771;0,2333;0,8;0,5368;1
KARBUBU;0,5943;0,3;0,8;0,5648;1
KLISHATU;0,5429;0,3667;0,8;0,5698;1
TELEMAR;0,5657;0,2833;0,7333;0,5275;1
USTUTUN;0,76;0,2167;0,6667;0,5478;1
ILPOKIL;0,56;0,3167;0,7333;0,5367;1
ILWAY;0,6629;0,2833;0,6667;0,5376;1
KAHILIN;0,5771;0,25;0,7333;0,5202;1
MONING;0,5543;0,3167;0,6667;0,5125;1
TOMLIAPAT;0,5486;0,4;0,6;0,5162;1
ELSULITH;0,6229;0,4;0,6667;0,5632;1
ERAY;0,6629;0,2667;0,6667;0,5321;1
NABAR;0,6686;0,2167;0,6;0,4951;1
NAUMATANG;0,6857;0,25;0,6667;0,5341;1
UHAK;0,5829;0,25;0,6667;0,4998;1
ALUSI BUKJALIM;0,7429;0,3667;0,6;0,5698;1
NURKAT;0,6743;0,2833;0,6667;0,5414;1
KILOBAR;0,7943;0,3833;0,4667;0,5481;1
AWEAR RUMNGEUR;0,68;0,35;0,6;0,5433;1
KARATAT;0,6743;0,35;0,6667;0,5637;1
KILOON;0,6971;0,2667;0,8;0,5879;1
LABOBAR;0,6057;0,2833;0,8667;0,5852;1
ROMNUS;0,6629;0,3;0,8;0,5876;1
WABAR;0,72;0,45;0,4667;0,5456;1
ABIO AHIOLO;0,5143;0,3167;0,5333;0,4548;0
HUKU KECIL;0,4857;0,2167;0,5333;0,4119;0
SUMEITH PASINARO;0,5543;0,2667;0,5333;0,4514;0
WATUI;0,3943;0,2;0,5333;0,3759;0
SOLE;0,5143;0,3167;0,8667;0,5659;1
HUKUANAKOTA;0,5543;0,3833;0,6;0,5125;1
MANUSA;0,5943;0,3167;0,6667;0,5259;1
RAMBATU;0,6171;0,4333;0,6667;0,5724;1
LOHIATALA;0,6343;0,3833;0,6667;0,5614;1
BURIA;0,7771;0,4333;0,5333;0,5813;1
LATURAKE;0,76;0,3;0,6;0,5533;1
LOHIASAPALEWA;0,6057;0,3;0,6667;0,5241;1
NINIARI;0,5771;0,2833;0,6667;0,509;1
NUKUHAI;0,5543;0,3;0,6;0,4848;0
NUNIALI;0,6171;0,4167;0,6667;0,5668;1
PASINALO;0,6286;0,4667;0,5333;0,5429;1
PATAHUWE;0,56;0,4333;0,6;0,5311;1
RIRING;0,6343;0,3833;0,6;0,5392;1
RUMAHSOAL;0,5429;0,25;0,6;0,4643;0
WAKOLO;0,5086;0,45;0,6;0,5195;1
HATUNURU;0,5829;0,5333;0,6667;0,5943;1
LUMAHLATAL;0,6057;0,4167;0,6667;0,563;1
LUMAHPELU;0,6914;0,4;0,6667;0,586;1
MAKUBUBUI;0,6229;0,5;0,6667;0,5965;1
MALOANG;0,6;0,3833;0,7333;0,5722;1
MATAPA;0,6343;0,4833;0,5333;0,5503;1
MUSIHUWEY;0,6571;0,3167;0,5333;0,5024;1
SOHUWE;0,5771;0,3333;0,7333;0,5479;1
SOLEA;0,6057;0,3333;0,6667;0,5352;1
TOUNUSA;0,6686;0,3667;0,6667;0,5673;1
WARALOIN;0,5943;0,4;0,6667;0,5537;1
SALAS;0,6571;0,3667;0,6667;0,5635;1
ADAR;0,6629;0,35;0,6667;0,5598;1
AMARWATU;0,7143;0,3667;0,6667;0,5825;1
ARAN;0,6286;0,3667;0,6667;0,554;1
ARMADA;0,5543;0,35;0,8667;0,5903;1
BAS;0,5314;0,4667;0,6667;0,5549;1
BASARIN;0,7543;0,3667;0,6667;0,5959;1
ETARALU;0,5829;0,3833;0,6667;0,5443;1
GOHA;0,6457;0,3667;0,6667;0,5597;1
KILKODA;0,7029;0,4;0,6;0,5676;1
KILTUFA;0,6171;0,4667;0,6667;0,5835;1
KOTA SIRIH;0,6343;0,4667;0,6667;0,5892;1
MIRAN GOTA;0,6343;0,3333;0,6667;0,5448;1
MIRAN KELEDAR;0,6629;0,4167;0,6667;0,5821;1
MIRAN KILIAN;0,6686;0,3167;0,7333;0,5729;1
MIRAN MANABAN;0,7086;0,4167;0,6667;0,5973;1
MIRAN RUMUAR;0,6629;0,4;0,6667;0,5765;1
RARAT;0,5429;0,2667;0,6667;0,4921;1
SAGEY;0,6629;0,3333;0,6;0,5321;1
TINARIN;0,5657;0,3833;0,6667;0,5386;1
TUHA;0,6457;0,45;0,6667;0,5875;1
TUNAS ILUR;0,6571;0,3;0,6667;0,5413;1
WAISALAN;0,6114;0,4333;0,6667;0,5705;1
KELABA;0,5886;0,3667;0,6667;0,5406;1
KIAN DARAT;0,5543;0,4333;0,5333;0,507;1
KILESER;0,5657;0,3833;0,6667;0,5386;1
RUMFAKAR;0,6857;0,3;0,6;0,5286;1
RUMOGA;0,5429;0,3333;0,6;0,4921;1
AFANG DEFOL;0,48;0,2167;0,6667;0,4544;0
AFANG KOTA;0,3943;0,15;0,6667;0,4037;0
BITORIK;0,4057;0,1833;0,6;0,3963;0
GUNAK;0,4;0,25;0,6667;0,4389;0
KAMAR;0,4171;0,25;0,6;0,4224;0
KILBON KWAY;0,3886;0,2833;0,6;0,424;0
KILMURY;0,5314;0,2833;0,6;0,4716;0
